Request #,Request Title,Fulfiller,Requester,Department/Lab,Project Type,Core Created Libraries,Read Type,Read Length,Machine Type,Status,Illumina Analysis Pipeline,Requested Date,Completed Date,Pooling Comments,# Lanes Needed,Scientific Projects,Comments,Analysis Goals,Analyst,Charge Project/Award,Constructed Date,Created Date,Creator,Due Date,IBC Completed,IBC Number,Machine Mode,Outsourced,Special Instructions,Staff Comments,Technician,Updated Date,Analysis Result Paths,Flowcell Result Paths
MOLNG-1000,Knockout vs control bulk RNA,"Doe, Jane","Garcia, Max",Example Lab,poly-A Stranded RNA-Seq,TRUE,Paired Reads,,HiSeq,Completed,,7/3/23 09:15,2/18/25 14:30,,1,,,,,,,,,,,,,,,,,,,/n/analysis/Example/abc/MOLNG-1000/H51EDRX3/
MOLNG-1007,Cortical organoid time course,"Coe, Robin","Smith, Pat",Example Lab,10x_scRNA-Seq_NextGEM_v3.1,TRUE,Paired Reads,100,NovaSeq 6000,Completed,,9/4/24 09:15,9/27/23 14:30,,1,,,,,,,,,,,,,,,,,,,/n/analysis/Example/def/MOLNG-1007/H38XTNMX2/
MOLNG-1014,"Regeneration time course, injury model","Doe, Jane","Okafor, Noor",Example Lab,DNA-Seq Nextera (1ng),FALSE,Paired Reads,100,HiSeq,Completed,,6/10/23 09:15,3/23/23 14:30,,1,,,,,,,,,,,,,,,,,,,/n/analysis/Example/ghi/MOLNG-1014/H57DTNMX2/
MOLNG-1021,"Spatial panel, coronal sections","Doe, Jane","Smith, Pat",Demo Lab,SLIDE-seq Trial,FALSE,Single Read,100,HiSeq,Completed,,1/22/22 09:15,9/19/24 14:30,,3,,,,,,,,,,,,,,,,,,,/n/analysis/Example/ghi/MOLNG-1021/H77RDRX3/
MOLNG-1028,Knockout vs control bulk RNA,"Doe, Jane","Garcia, Max",Demo Lab,10x_scRNA-Seq_NextGEM_v3.1,TRUE,Single Read,150,HiSeq,Completed,,5/23/25 09:15,11/12/22 14:30,,4,,,,,,,,,,,,,,,,,,,/n/analysis/Example/ghi/MOLNG-1028/H86RTNMX2/
MOLNG-1035,ATAC profiling of sorted populations,"Poe, Alex","Jones, Lee",Example Lab,Ribogone Stranded RNA-Seq,FALSE,Paired Reads,,NextSeq 500,Completed,,8/13/24 09:15,3/27/25 14:30,,3,,,,,,,,,,,,,,,,,,,/n/analysis/Example/jkl/MOLNG-1035/H31WDMX2/
MOLNG-1042,"Single-nucleus atlas, adult tissue","Doe, Jane","Jones, Lee",Example Lab,10X scRNA-Seq,TRUE,Paired Reads,100,NextSeq 500,Completed,,5/10/22 09:15,3/14/24 14:30,,3,,,,,,,,,,,,,,,,,,,/n/analysis/Example/def/MOLNG-1042/H55YDRX3/
MOLNG-1049,Cortical organoid time course,"Coe, Robin","Okafor, Noor",Demo Lab,Ribogone Stranded RNA-Seq,FALSE,Single Read,,HiSeq,Completed,,11/13/22 09:15,4/3/23 14:30,,4,,,,,,,,,,,,,,,,,,,/n/analysis/Example/def/MOLNG-1049/H98STNMX2/
MOLNG-1056,Cortical organoid time course,"Roe, Sam","Okafor, Noor",Example Lab,Poly-A Non-stranded RNA-Seq (Molbio: Nextera Only),TRUE,Paired Reads,50,HiSeq,Canceled,,3/21/24 09:15,,,3,,,,,,,,,,,,,,,,,,,
MOLNG-1063,Cell-line differentiation panel,"Coe, Robin","Chen, Riley",Demo Lab,Ribo-dep Stranded RNA-Seq,TRUE,Paired Reads,,HiSeq,Canceled,,12/9/25 09:15,,,2,,,,,,,,,,,,,,,,,,,
MOLNG-1070,Patient-derived line comparison,"Poe, Alex","Jones, Lee",Example Lab,DNA-Seq (1ug),FALSE,Paired Reads,75,Unknown,Completed,,6/6/24 09:15,4/18/24 14:30,,2,,,,,,,,,,,,,,,,,,,/n/analysis/Example/def/MOLNG-1070/H76ADMX2/
MOLNG-1077,ATAC profiling of sorted populations,"Coe, Robin","Garcia, Max",Example Lab,10x_RNA_Flex_v1,FALSE,Single Read,75,MiSeq,Completed,,12/20/24 09:15,8/26/24 14:30,,3,,,,,,,,,,,,,,,,,,,/n/analysis/Example/abc/MOLNG-1077/H40NTNMX2/
MOLNG-1084,"Perturbation screen, pooled","Roe, Sam","Chen, Riley",Example Lab,Ribo-dep Non-stranded RNA-Seq,FALSE,Paired Reads,,HiSeq,Completed,,12/25/23 09:15,8/6/25 14:30,,3,,,,,,,,,,,,,,,,,,,/n/analysis/Example/abc/MOLNG-1084/H38DDMX2/
MOLNG-1091,Knockout vs control bulk RNA,"Roe, Sam","Jones, Lee",Example Lab,10x_RNA_Flex_v1,TRUE,Single Read,50,HiSeq,Completed,,11/12/23 09:15,9/18/23 14:30,,1,,,,,,,,,,,,,,,,,,,/n/analysis/Example/abc/MOLNG-1091/H60QDRX3/
MOLNG-1098,"Single-nucleus atlas, adult tissue","Coe, Robin","Jones, Lee",Example Lab,10x_RNA_Flex_v1,FALSE,Paired Reads,75,HiSeq,Completed,,4/25/24 09:15,5/18/25 14:30,,2,,,,,,,,,,,,,,,,,,,/n/analysis/Example/abc/MOLNG-1098/H93DTNMX2/
MOLNG-1105,Patient-derived line comparison,"Coe, Robin","Okafor, Noor",Example Lab,DNA-Seq (1ug),TRUE,Single Read,150,NextSeq 2000,Completed,,8/25/23 09:15,10/1/23 14:30,,2,,,,,,,,,,,,,,,,,,,/n/analysis/Example/def/MOLNG-1105/H55QTNMX2/
MOLNG-1112,Cortical organoid time course,"Poe, Alex","Okafor, Noor",Demo Lab,SLIDE-seq,TRUE,Paired Reads,50,HiSeq,Canceled,,1/25/22 09:15,,,4,,,,,,,,,,,,,,,,,,,
MOLNG-1119,"Regeneration time course, injury model","Roe, Sam","Garcia, Max",Demo Lab,poly-A Stranded RNA-Seq,FALSE,Single Read,50,Unknown,Completed,,5/18/23 09:15,8/5/25 14:30,,1,,,,,,,,,,,,,,,,,,,/n/analysis/Example/jkl/MOLNG-1119/H81ADMX2/
MOLNG-1126,"Developmental series, whole embryo","Doe, Jane","Jones, Lee",Demo Lab,10x_scRNA-Seq_NextGEM_v3.1,TRUE,Paired Reads,50,HiSeq,Completed,,3/15/23 09:15,12/4/25 14:30,,4,,,,,,,,,,,,,,,,,,,/n/analysis/Example/def/MOLNG-1126/H66LDMX2/
MOLNG-1133,Patient-derived line comparison,"Coe, Robin","Garcia, Max",Demo Lab,DNA-seq plexWell96,FALSE,Paired Reads,,MiSeq,Completed,,1/11/25 09:15,8/23/22 14:30,,4,,,,,,,,,,,,,,,,,,,/n/analysis/Example/ghi/MOLNG-1133/H95HDMX2/
